"","CNT","Gender","Mothereduc","HmwPC","Books","Cars","IMM","LEARNMINWEEK","ESCS","EMOSUPS","PV10MATH","PV10SCIE"
"226","FRA",1,1,1,1,4,1,1800,6.2798,4.4814,526.223,424.027
"227","FRA",1,1,1,1,3,1,2200,6.6393,4.4814,478.737,547.857
"228","FRA",1,1,1,1,3,1,1600,7.2747,2.7892,511.921,594.479
"229","FRA",1,2,1,1,3,1,1925,5.3995,2.7892,405.959,415.342
"230","FRA",1,1,1,1,2,1,1320,6.202,3.9497,537.611,536.245
"231","FRA",1,2,0,0,3,1,1100,4.6808,1,375.727,419.872
"232","FRA",1,1,1,1,3,1,1650,6.813,4.4814,568.936,615.919
"233","FRA",0,1,1,0,3,1,1860,4.6733,4.4814,520.209,472.64
"234","FRA",1,1,1,0,3,1,1540,6.4211,3.6637,602.49,532.592
"235","FRA",1,1,1,1,4,1,1375,7.1795,3.6637,452.656,464.57
"236","FRA",0,2,0,1,1,1,1380,5.1176,3.809,477.559,541.621
"237","FRA",1,2,1,0,2,1,2310,5.4182,2.7892,482.568,437.438
"238","FRA",0,2,1,1,3,1,1650,5.5158,4.4814,516.944,428.505
"239","FRA",1,1,1,1,4,1,1200,7.3401,2.3811,592.289,544.958
"240","FRA",0,1,1,0,2,1,1680,5.5447,2.7892,557.296,529.923
"241","FRA",1,1,1,1,3,1,1430,7.5683,2.2621,587.098,609.797
"242","FRA",0,1,1,0,4,1,1430,6.8091,1,602.193,626.898
"243","FRA",0,2,1,1,2,1,1200,5.5725,4.4814,350.824,407.803
"244","FRA",0,2,1,0,3,1,715,5.2063,4.4814,433.44,386.487
"245","FRA",0,2,1,0,4,1,2255,5.9684,4.4814,437.998,426.607
"246","FRA",1,3,1,1,2,1,1200,6.4881,3.6637,493.252,433.253
"247","FRA",1,2,1,1,4,1,1430,6.371,4.4814,573.565,581.126
"248","FRA",1,1,1,1,4,1,1800,6.6493,3.9497,470.866,480.173
"249","FRA",0,1,1,1,2,0,1980,7.2982,2.0554,631.062,749.538
"250","FRA",0,2,1,1,3,1,1080,6.4225,2.7892,555.754,522.723
"251","FRA",1,4,1,0,2,1,1485,3.8827,2.7892,415.734,447.169
"252","FRA",1,2,1,1,3,1,1375,5.6864,1.3649,599.857,616.032
"253","FRA",0,1,1,1,3,1,1210,6.4605,3.9497,718.142,672.451
"254","FRA",0,2,1,0,3,1,770,4.5354,4.4814,309.629,311.315
"255","FRA",1,3,1,1,3,1,2220,4.6919,2.0529,575.707,689.356
"256","FRA",0,5,0,0,1,1,900,3.3687,2.2621,323.553,266.933
"257","FRA",1,3,1,1,3,1,1020,5.8037,2.7892,396.449,355.468
"258","FRA",1,1,1,1,3,1,1980,6.0969,4.4814,470.188,426.886
"259","FRA",1,2,1,1,3,1,1320,6.0128,3.9497,511.451,480.7
"260","FRA",1,1,0,1,3,1,1265,6.5555,4.4814,449.909,423.535
"261","FRA",0,1,1,1,3,1,2475,7.3638,4.4814,522.525,521.105
"262","FRA",0,1,1,1,4,1,1980,6.8785,2.7892,459.037,438.065
"263","FRA",0,2,1,0,4,1,1080,6.0116,1.4781,514.661,521.875
"264","FRA",0,1,1,1,3,1,1540,7.0518,4.0832,559.211,575.87
"265","FRA",1,2,1,0,4,1,1375,5.4667,2.7892,458.872,353.599
"266","FRA",1,1,1,1,2,1,1500,7.2444,2.7892,534.604,580.576
"267","FRA",0,2,1,1,4,1,1440,5.0824,4.4814,415.459,462.216
"268","FRA",1,1,1,1,4,1,1920,6.6358,2.7892,506.125,575.636
"269","FRA",0,3,1,1,1,0,1715,4.5605,2.1521,510.651,390.783
"270","FRA",1,2,1,1,4,1,2035,7.1672,4.087,556.021,536.203
